,time,status
0,0.0,unsure
1,0.05,unsure
2,0.1,unsure
3,0.15,unsure
4,0.2,unsure
5,0.25,unsure
6,0.3,unsure
7,0.35,unsure
8,0.4,unsure
9,0.45,unsure
10,0.5,unsure
11,0.55,unsure
12,0.6,unsure
13,0.65,unsure
14,0.7,unsure
15,0.75,unsure
16,0.8,unsure
17,0.85,unsure
18,0.9,unsure
19,0.95,unsure
20,1.0,unsure
21,1.05,unsure
22,1.1,unsure
23,1.15,unsure
24,1.2,unsure
25,1.25,unsure
26,1.3,unsure
27,1.35,unsure
28,1.4,unsure
29,1.45,unsure
30,1.5,unsure
31,1.55,unsure
32,1.6,unsure
33,1.65,unsure
34,1.7,unsure
35,1.75,unsure
36,1.8,unsure
37,1.85,unsure
38,1.9,unsure
39,1.95,unsure
40,2.0,unsure
41,2.05,unsure
42,2.1,unsure
43,2.15,unsure
44,2.2,unsure
45,2.25,unsure
46,2.3,unsure
47,2.35,unsure
48,2.4,unsure
49,2.45,unsure
50,2.5,unsure
51,2.55,unsure
52,2.6,unsure
53,2.65,unsure
54,2.7,unsure
55,2.75,unsure
56,2.8,unsure
57,2.85,unsure
58,2.9,unsure
59,2.95,unsure
60,3.0,unsure
61,3.05,unsure
62,3.1,unsure
63,3.15,unsure
64,3.2,unsure
65,3.25,unsure
66,3.3,unsure
67,3.35,unsure
68,3.4,unsure
69,3.45,unsure
70,3.5,unsure
71,3.55,unsure
72,3.6,unsure
73,3.65,unsure
74,3.7,unsure
75,3.75,unsure
76,3.8,unsure
77,3.85,unsure
78,3.9,unsure
79,3.95,unsure
80,4.0,unsure
81,4.05,unsure
82,4.1,unsure
83,4.15,unsure
84,4.2,unsure
85,4.25,unsure
86,4.3,unsure
87,4.35,unsure
88,4.4,unsure
89,4.45,unsure
90,4.5,unsure
91,4.55,unsure
92,4.6,unsure
93,4.65,unsure
94,4.7,unsure
95,4.75,unsure
96,4.8,unsure
97,4.85,unsure
98,4.9,unsure
99,4.95,unsure
100,5.0,unsure
101,5.05,unsure
102,5.1,unsure
103,5.15,unsure
104,5.2,unsure
105,5.25,unsure
106,5.3,unsure
107,5.35,unsure
108,5.4,unsure
109,5.45,red
110,5.5,red
111,5.55,red
